game_name_id,platform,esrb,singleplayer,multyplayer,coop,price,ign_rating,campaign_duration,is_popular,char_customization,world_size,world_diversity,graphics,period,modding,competitive,genre,type,optimization
Need for Speed Carbon,PC,everyone,50,0,50,95,82,85,0,100,88,78,50,2000s,50,0,driving,simulation,100
Need for Speed Carbon,PS,everyone,50,0,50,95,82,85,0,100,88,78,50,2000s,0,0,driving,simulation,100
Need for Speed Carbon,XBOX,everyone,50,0,50,95,82,85,0,100,88,78,50,2000s,0,0,driving,simulation,100
Need for Speed Carbon,Nintendo,everyone,50,0,50,95,82,85,0,100,88,78,50,2000s,0,0,driving,simulation,100
Call of Duty 4: Modern Warfare (2007),PC,mature,50,50,0,70,94,65,50,50,50,90,65,2000s,50,50,war,shooter,92
Call of Duty 4: Modern Warfare (2007),PS,mature,50,50,0,70,94,65,50,50,50,90,65,2000s,50,50,war,shooter,92
Call of Duty 4: Modern Warfare (2007),XBOX,mature,50,50,0,70,94,65,50,50,50,90,65,2000s,50,50,war,shooter,92
Call of Duty 4: Modern Warfare (2007),Nintendo,mature,50,50,0,70,94,65,50,50,50,90,65,2000s,50,50,war,shooter,92
Need for Speed: Hot Pursuit,PC,everyone,50,50,0,95,90,78,0,1,90,75,73,2010-sad,0,0,driving,simulation,72
Need for Speed: Hot Pursuit,PS,everyone,50,50,0,95,90,78,0,1,90,75,73,2010-sad,0,0,driving,simulation,90
Need for Speed: Hot Pursuit,XBOX,everyone,50,50,0,95,90,78,0,1,90,75,73,2010-sad,0,0,driving,simulation,90
Need for Speed: Hot Pursuit,Nintendo,everyone,50,50,0,95,90,78,0,1,90,75,73,2010-sad,0,0,driving,simulation,80
Call of Duty: Modern Warfare 2,PC,mature,50,50,50,70,95,50,50,65,55,95,70,2000s,50,50,war,shooter,92
Call of Duty: Modern Warfare 2,PS,mature,50,50,50,70,95,50,50,65,55,95,70,2000s,50,50,war,shooter,92
Call of Duty: Modern Warfare 2,XBOX,mature,50,50,50,70,95,50,50,65,55,95,70,2000s,50,50,war,shooter,92
Need for Speed: Most Wanted (2012),PC,everyone,50,50,0,95,90,75,50,1,92,79,83,2010-sad,50,0,driving,simulation,80
Need for Speed: Most Wanted (2012),PS,everyone,50,50,0,95,90,75,50,1,92,79,83,2010-sad,0,0,driving,simulation,80
Need for Speed: Most Wanted (2012),XBOX,everyone,50,50,0,95,90,75,50,1,92,79,83,2010-sad,0,0,driving,simulation,80
